Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4, C8",0805,3,10u,C15850
"C10, C11",0603,2,15p,C1644
"C12, C14, C15, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C26, C3, C7",0603,16,100n,C14663
"C13, C16",0805,2,2u2,C377773
"C5, C6",0603,2,1u,C15849
C9,C_Disc_D10.0mm_W2.5mm_P5.00mm,1,1n,C499502
"D1, D3",0805,2,GN,C2297
"D2, D4",0805,2,YL,C2296
D5,0805,1,RD,C84256
F1,1206,1,250mA,C20798
F2,1206,1,50mA,C20797
J1,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,1,USB_C_Receptacle_USB2.0_14P,C2894897
J2,IDC-Header_2x05_P2.54mm_Horizontal,1,DBG-TGT,C9140
JP1,PinHeader_1x02_P2.54mm_Vertical,1,Jumper_2_Open,C5360898
"R1, R2",0603,2,5k1,C23186
"R10, R11, R7, R8, R9",0603,5,470,C23179
"R12, R15",0603,2,100,C22775
"R13, R14",0603,2,22,C1203
"R3, R4, R5, R6",0603,4,1k,C21190
SW1,SW_SPST_TS-1088-xR020,1,SW_Push,C720477
U1,SMD_DCDC,1,~,C115958
"U10, U3, U9",SOIC-8_3.9x4.9mm_P1.27mm,3,USB6B1,C10508
U2,SOIC-16W_7.5x10.3mm_P1.27mm,1,ADUM3160,C284149
U4,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,C6186
U5,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U6,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q16JVSS,C82317
"U7, U8",SOT-23-5,2,74AUP1G17,C183012
Y1,Crystal_SMD_Abracon_ABM8AIG-4Pin_3.2x2.5mm,1,12MHz,C9002
