Designator,Mid X,Mid Y,Rotation,Layer
C1,69.75,-96.2,180.0,top
C10,112.5,-105.5,90.0,top
C11,117.5,-105.5,270.0,top
C12,106.25,-113.5,0.0,top
C13,98.5,-100.75,90.0,top
C14,111.25,-101.0,90.0,top
C15,98.75,-108.75,180.0,top
C16,100.75,-100.75,90.0,top
C17,103.5,-99.45,180.0,top
C18,109.0,-99.45,0.0,top
C19,112.75,-101.0,90.0,top
C2,75.5,-96.7,180.0,top
C20,109.0,-111.95,0.0,top
C21,98.75,-107.25,180.0,top
C22,103.5,-111.95,0.0,top
C23,128.5,-81.0,0.0,top
C24,128.475,-115.75,0.0,top
C25,76.25,-106.95,180.0,top
C26,87.5,-106.95,0.0,top
C3,90.75,-82.2,90.0,top
C4,94.75,-82.2,90.0,top
C5,74.75,-110.95,90.0,top
C6,88.75,-110.95,90.0,top
C7,101.25,-88.95,270.0,top
C8,96.0,-93.95,0.0,top
C9,81.75,-101.7,0.0,top
D1,113.75,-116.2,90.0,top
D2,116.0,-116.2,90.0,top
D3,118.25,-116.2,90.0,top
D4,120.5,-116.2,90.0,top
D5,122.75,-116.2,90.0,top
F1,64.0,-96.2,0.0,top
F2,106.5,-84.0,0.0,top
J1,55.75,-100.7,270.0,top
J2,135.58,-100.7,0.0,top
JP1,112.505,-84.0,270.0,top
R1,59.25,-107.95,0.0,top
R10,120.5,-110.95,270.0,top
R11,122.75,-110.95,270.0,top
R12,126.0,-84.0,270.0,top
R13,131.0,-84.0,90.0,top
R14,131.0,-118.75,90.0,top
R15,126.0,-118.75,270.0,top
R2,59.25,-109.45,0.0,top
R3,115.0,-102.5,180.0,top
R4,95.5,-116.0,270.0,top
R5,98.75,-103.7,0.0,top
R6,98.75,-105.2,0.0,top
R7,113.75,-110.95,270.0,top
R8,116.0,-110.95,270.0,top
R9,118.25,-110.95,270.0,top
SW1,91.5,-119.0,0.0,top
U1,81.75,-88.7,0.0,top
U10,128.5,-111.0,0.0,top
U2,81.75,-113.7,270.0,top
U3,66.75,-100.4266,270.0,top
U4,95.75,-88.7,0.0,top
U5,106.25,-105.7,180.0,top
U6,101.25,-116.95,270.0,top
U7,128.5,-84.0,270.0,top
U8,128.5,-118.75,270.0,top
U9,128.5,-91.0,180.0,top
Y1,115.0,-105.5,270.0,top
